,Date,Constant,Mkt
"392-1",1927-10-20,0.024519247231361861,0.64214437690789894
"393-1",1927-10-21,0.024445566062710398,0.6444268044096384
"394-1",1927-10-22,0.024371616536491555,0.64677628892151862
"395-1",1927-10-24,0.02429987264869329,0.6486253931877225
"396-1",1927-10-25,0.024225630451011945,0.65017057360741015
"397-1",1927-10-26,0.024151117959863997,0.65157356297162672
"398-1",1927-10-27,0.024068727443666362,0.6528470420956719
"399-1",1927-10-28,0.023976123611300432,0.65549731019624213
"400-1",1927-10-29,0.023883980894777296,0.6579277443318341
"401-1",1927-10-31,0.023795070069212811,0.65982687402040774
"402-1",1927-11-01,0.023702505333111943,0.66081296697860414
"403-1",1927-11-02,0.023615845318361691,0.66177964588631355
"404-1",1927-11-03,0.023525320809325508,0.6614757231395344
"405-1",1927-11-04,0.023439082360757878,0.66275011313796883
"406-1",1927-11-05,0.02334768803020161,0.66407535899256764
"407-1",1927-11-07,0.023257868616710097,0.6656854029718513
"408-1",1927-11-09,0.023170090394064698,0.66775851994057922
"409-1",1927-11-10,0.023076931183472048,0.67121161874198643
"410-1",1927-11-11,0.022975760800621043,0.67403256184242655
"411-1",1927-11-12,0.022877021691875003,0.67754896136857012
"412-1",1927-11-14,0.022779694851439776,0.68122323571833676
"413-1",1927-11-15,0.022681310254390082,0.68472014312833751
"414-1",1927-11-16,0.02258566024106588,0.6883159515324595
"415-1",1927-11-17,0.022488897880014187,0.69192638902653059
"416-1",1927-11-18,0.022389625612051708,0.69540478991710331
"417-1",1927-11-19,0.022291483069837661,0.69910976978342543
"418-1",1927-11-21,0.022190701883564975,0.70258050950866258
"419-1",1927-11-22,0.022085011693210598,0.70689054200760459
"420-1",1927-11-23,0.021981373862181779,0.71145024767354714
"421-1",1927-11-25,0.021878278574032791,0.71605990027492983
"422-1",1927-11-26,0.021774798883204497,0.72063921994408298
"423-1",1927-11-28,0.02167210955336471,0.72521594099643061
"424-1",1927-11-29,0.021572923324069803,0.72891730961859913
"425-1",1927-11-30,0.021469978312957161,0.7318153792505192
"426-1",1927-12-01,0.021364094598666335,0.73424966707682382
"427-1",1927-12-02,0.021260213319019488,0.7363679336180573
"428-1",1927-12-03,0.021155830868313338,0.73844335753363155
"429-1",1927-12-05,0.021052158511655612,0.74060283094654367
"430-1",1927-12-06,0.020944085508880279,0.74334105726466326
"431-1",1927-12-07,0.020838753908552068,0.74605224332684861
"432-1",1927-12-08,0.02072926545935282,0.74944679164321393
"433-1",1927-12-09,0.020622704545912685,0.75201355523709312
"434-1",1927-12-10,0.020514134014533239,0.75383368323797939
"435-1",1927-12-12,0.02040467044364248,0.75563619396638482
"436-1",1927-12-13,0.020296358720129665,0.75765835897915279
"437-1",1927-12-14,0.020188133978828845,0.75969139152051102
